strategy,data_name,coverage,mean_width,cwc,mwi,total_time,noise_std,num_samples,noise_type,layer_size,ssc,cv_size
jackknife_plus_ab,linear,0.906666667,0.655140938,0.936840075,18203.22245,480.9093504,0.2,500,normal,"(200, 1000, 1000, 1000)",[[0.9        0.86666667 0.85       0.98333333 0.93333333]],1
jackknife_plus_ab,linear,0.896666667,1.651810562,0.870624971,15409.60416,467.9934335,0.5,500,normal,"(200, 1000, 1000, 1000)",[[0.91666667 0.88333333 0.91666667 0.88333333 0.88333333]],1
jackknife_plus_ab,linear,0.89,3.280026866,0.756435401,12081.44491,466.8242378,1,500,normal,"(200, 1000, 1000, 1000)",[[0.9        0.9        0.86666667 0.91666667 0.86666667]],1
cqr,linear,0.903333333,2.633005612,0.736699431,10338.84348,0.536260128,0,500,normal,"(200, 1000, 1000, 1000)",[[0.88333333 0.8        0.95       0.93333333 0.95      ]],1
cqr,linear,0.91,1.555672145,0.850022917,14389.17604,0.070973873,0.2,500,normal,"(200, 1000, 1000, 1000)",[[0.83333333 0.95       0.9        0.93333333 0.93333333]],1
cqr,linear,0.903333333,1.854246743,0.85476953,14945.57408,0.073598623,0.5,500,normal,"(200, 1000, 1000, 1000)",[[0.85       0.86666667 0.91666667 0.91666667 0.96666667]],1
cqr,linear,0.89,3.52605938,0.738165799,11458.94331,0.073304892,1,500,normal,"(200, 1000, 1000, 1000)",[[0.81666667 0.88333333 0.88333333 0.93333333 0.93333333]],1
split,linear,0.953333333,0.030310263,0.996966138,19965.34494,7.28524065,0,500,normal,"(400, 2000)",999,1
split,linear,0.91,0.631873837,0.939083124,18252.40967,5.565860033,0.2,500,normal,"(400, 2000)",999,1
split,linear,0.926666667,1.800663193,0.858965762,15254.43129,5.362886429,0.5,500,normal,"(400, 2000)",999,1
split,linear,0.923333333,3.565936419,0.735204328,11426.42829,8.554878473,1,500,normal,"(400, 2000)",999,1
jackknife_plus,linear,1,0.068402126,0.993149856,19864.07784,20.3791604,0,500,normal,"(400, 2000)",[[1. 1. 1. 1. 1.]],1
jackknife_plus,linear,0.923333333,0.697593373,0.932746916,18008.9191,15.42392302,0.2,500,normal,"(400, 2000)",[[0.93333333 0.95       0.95       0.9        0.88333333]],1
jackknife_plus,linear,0.913333333,1.706178703,0.866366542,15435.71436,16.99675751,0.5,500,normal,"(400, 2000)",[[0.93333333 0.93333333 0.91666667 0.91666667 0.86666667]],1
jackknife_plus,linear,0.89,3.297243983,0.755156912,12004.99863,18.50209594,1,500,normal,"(400, 2000)",[[0.91666667 0.8        0.9        0.95       0.88333333]],1
jackknife_plus_ab,linear,1,0.029752586,0.997014771,19970.44854,180.7288885,0,500,normal,"(400, 2000)",[[1. 1. 1. 1. 1.]],1
jackknife_plus_ab,linear,0.893333333,0.641644069,0.938141262,18196.52962,166.6329918,0.2,500,normal,"(400, 2000)",[[0.91666667 0.85       0.9        0.91666667 0.88333333]],1
jackknife_plus_ab,linear,0.903333333,1.664765518,0.869610298,15347.22877,181.5893009,0.5,500,normal,"(400, 2000)",[[0.91666667 0.93333333 0.83333333 0.96666667 0.86666667]],1
jackknife_plus_ab,linear,0.89,3.298934362,0.75503139,11987.54004,168.3213716,1,500,normal,"(400, 2000)",[[0.86666667 0.91666667 0.85       0.91666667 0.9       ]],1
cqr,linear,0.903333333,2.633005612,0.736699431,10338.84348,0.06698966,0,500,normal,"(400, 2000)",[[0.88333333 0.8        0.95       0.93333333 0.95      ]],1
cqr,linear,0.91,1.555672145,0.850022917,14389.17604,0.066539764,0.2,500,normal,"(400, 2000)",[[0.83333333 0.95       0.9        0.93333333 0.93333333]],1
cqr,linear,0.903333333,1.854246743,0.85476953,14945.57408,0.084002018,0.5,500,normal,"(400, 2000)",[[0.85       0.86666667 0.91666667 0.91666667 0.96666667]],1
cqr,linear,0.89,3.52605938,0.738165799,11458.94331,0.078000546,1,500,normal,"(400, 2000)",[[0.81666667 0.88333333 0.88333333 0.93333333 0.93333333]],1
split,linear,0.856666667,0.010533876,0.998944737,20033.29292,68.65625763,0,500,normal,"(400, 2000, 2000, 2000)",999,1
split,linear,0.976666667,0.933719888,0.910334874,17487.08632,70.09628654,0.2,500,normal,"(400, 2000, 2000, 2000)",999,1
split,linear,0.936666667,1.706727692,0.849123524,15224.43259,62.84555292,0.5,500,normal,"(400, 2000, 2000, 2000)",999,1
split,linear,0.913333333,3.38167604,0.760839113,12327.50039,67.13517022,1,500,normal,"(400, 2000, 2000, 2000)",999,1
jackknife_plus,linear,0.95,0.034206118,0.996576897,19956.77121,196.1112168,0,500,normal,"(400, 2000, 2000, 2000)",[[1.         1.         1.         0.98333333 0.76666667]],1
jackknife_plus,linear,0.903333333,0.697406307,0.933032055,18138.34932,196.6111808,0.2,500,normal,"(400, 2000, 2000, 2000)",[[0.91666667 0.8        0.91666667 0.95       0.93333333]],1
jackknife_plus,linear,0.95,1.766108961,0.84387323,15156.13778,221.9869504,0.5,500,normal,"(400, 2000, 2000, 2000)",[[0.95       0.96666667 0.96666667 0.95       0.91666667]],1
jackknife_plus,linear,0.896666667,3.19633126,0.773947295,12397.49856,185.5898111,1,500,normal,"(400, 2000, 2000, 2000)",[[0.91666667 0.95       0.86666667 0.85       0.9       ]],1
jackknife_plus_ab,linear,0.91,0.012456225,0.998754278,20027.58782,1920.099806,0,500,normal,"(400, 2000, 2000, 2000)",[[1.         1.         1.         0.96666667 0.58333333]],1
jackknife_plus_ab,linear,0.903333333,0.661891693,0.93644232,18215.40796,2064.660847,0.2,500,normal,"(400, 2000, 2000, 2000)",[[0.86666667 0.93333333 0.95       0.85       0.91666667]],1
jackknife_plus_ab,linear,0.95,1.742916564,0.845923441,15163.40232,2105.499944,0.5,500,normal,"(400, 2000, 2000, 2000)",[[0.98333333 0.95       0.93333333 0.95       0.93333333]],1
