strategy,data_name,coverage,mean_width,cwc,mwi,total_time,noise_std,num_samples,noise_type,layer_size,ssc,cv_size,optimiser,bagging_fraction,normalised_mean_width,num_features
split_resid_norm,poly_multi,0.963333333,287.9712297,-13.8725773,1985.103861,1.654247522,1,300,normal,"(200, 1000)",[[0.81666667 1.         1.         1.         1.        ]],50,adam,1,14.87263294,10
jackknife_plus_ab,poly_multi,0.91,3.41130854,0.823818638,12114.27561,174.6131203,0,300,normal,"(200, 1000)",[[0.96666667 0.96666667 0.98333333 0.93333333 0.7       ]],50,adam,1,0.17618128,10
jackknife_plus_ab,poly_multi,0.903333333,3.299468122,0.829594849,12681.54186,189.9093304,0.2,300,normal,"(200, 1000)",[[0.86666667 0.95       0.96666667 0.91666667 0.81666667]],50,adam,1,0.170405142,10
jackknife_plus_ab,poly_multi,0.9,3.201924564,0.834632617,12872.85638,201.8720398,0.5,300,normal,"(200, 1000)",[[0.96666667 0.96666667 0.95       0.9        0.71666667]],50,adam,1,0.165367383,10
jackknife_plus_ab,poly_multi,0.923333333,3.270679065,0.831081252,12821.60225,191.2298596,1,300,normal,"(200, 1000)",[[0.98333333 0.98333333 0.96666667 0.93333333 0.75      ]],50,adam,1,0.168918295,10
split,non_linear_multi,0.94,0.00766024,0.978434159,518.9117151,5.610984087,0,300,normal,"(200, 1000)",999,50,adam,1,0.021564275,3
split,non_linear_multi,0.973333333,0.010617294,0.970106128,509.9561003,5.171802521,0.2,300,normal,"(200, 1000)",999,50,adam,1,0.029888655,3
split,non_linear_multi,0.94,0.011452575,0.967758406,508.0875403,4.772961617,0.5,300,normal,"(200, 1000)",999,50,adam,1,0.032240046,3
split,non_linear_multi,0.916666667,0.008954726,0.974791357,514.9315572,4.929239273,1,300,normal,"(200, 1000)",999,50,adam,1,0.025208372,3
split_resid_norm,non_linear_multi,0.936666667,0.040914365,0.884821133,430.8219029,5.214034796,0,300,normal,"(200, 1000)",[[0.7        0.98333333 1.         1.         1.        ]],50,adam,1,0.115177678,3
split_resid_norm,non_linear_multi,0.906666667,0.010897312,0.969323027,509.7160381,4.724963903,0.2,300,normal,"(200, 1000)",[[0.73333333 0.88333333 0.95       0.96666667 1.        ]],50,adam,1,0.03067693,3
split_resid_norm,non_linear_multi,0.93,0.027918861,0.921405025,461.9420562,5.515781164,0.5,300,normal,"(200, 1000)",[[0.71666667 0.93333333 1.         1.         1.        ]],50,adam,1,0.078594146,3
split_resid_norm,non_linear_multi,0.976666667,0.191553106,0.460757781,273.0794065,5.504586458,1,300,normal,"(200, 1000)",[[0.88333333 1.         1.         1.         1.        ]],50,adam,1,0.539239511,3
jackknife_plus_ab,non_linear_multi,0.933333333,0.008492848,0.976090773,516.3382122,137.2848225,0,300,normal,"(200, 1000)",[[0.98333333 0.98333333 0.96666667 0.96666667 0.76666667]],50,adam,1,0.023908143,3
jackknife_plus_ab,non_linear_multi,0.923333333,0.006623989,0.98135233,521.5543336,134.4769263,0.2,300,normal,"(200, 1000)",[[0.96666667 0.98333333 0.9        0.93333333 0.83333333]],50,adam,1,0.018647136,3
