strategy,data_name,coverage,mean_width,cwc,mwi,total_time,noise_std,num_samples,noise_type,layer_size,ssc
cqr,sinex_het,0.8733333333333333,6.9410025087381095,0.5782433165161716,4010.0135710688655,0.061899185180664,1.0,300,laplace,"(200, 1000, 1000, 1000)",[[0.88333333 0.81666667 0.88333333 0.85       0.93333333]]
cqr,sinex_het,0.9466666666666668,9.829786332203764,0.4045651369968287,2219.871195664364,0.0655245780944824,1.5,300,laplace,"(200, 1000, 1000, 1000)",[[0.96666667 0.88333333 0.96666667 0.96666667 0.95      ]]
cqr,sinex_het,0.8833333333333333,10.93420665682853,0.6062059823289292,3215.64676994573,0.0629694461822509,2.0,300,laplace,"(200, 1000, 1000, 1000)",[[0.83333333 0.88333333 0.83333333 0.93333333 0.93333333]]
split,sinex_con,0.92,2.6928187491419,0.7754046228959379,8920.70852069861,14.992831707000732,0.5,300,laplace,"(200, 1000, 1000, 1000)",999
split,sinex_con,0.9466666666666668,5.974928182592038,0.5619862614302049,4352.425113002845,13.038650035858154,1.0,300,laplace,"(200, 1000, 1000, 1000)",999
split,sinex_con,0.9666666666666668,10.315109341505927,0.4275798053032609,2122.699474502865,9.37092113494873,1.5,300,laplace,"(200, 1000, 1000, 1000)",999
split,sinex_con,0.9266666666666666,10.75439593407256,0.5534746457745425,2650.8489023584457,8.038291931152344,2.0,300,laplace,"(200, 1000, 1000, 1000)",999
split_resid_norm,sinex_con,0.9633333333333334,4.295069398574921,0.6417663345299879,6686.355078855325,13.029581785202026,0.5,300,laplace,"(200, 1000, 1000, 1000)",[[0.95       0.95       0.95       0.96666667 1.        ]]
split_resid_norm,sinex_con,0.91,4.849782293324374,0.6444700826295913,6267.330019908629,15.635513305664062,1.0,300,laplace,"(200, 1000, 1000, 1000)",[[0.8        0.91666667 0.95       0.93333333 0.95      ]]
split_resid_norm,sinex_con,0.87,6.317326096274339,0.6494308554430477,4637.316500839164,8.097472190856934,1.5,300,laplace,"(200, 1000, 1000, 1000)",[[0.76666667 0.81666667 0.88333333 0.93333333 0.95      ]]
split_resid_norm,sinex_con,0.91,12.3224650932084,0.4883684030497663,3169.7836329826,10.944708108901978,2.0,300,laplace,"(200, 1000, 1000, 1000)",[[0.8        0.86666667 0.93333333 0.96666667 0.98333333]]
jackknife_plus,sinex_con,0.94,3.377841038936761,0.7182693676746986,7241.93735833318,39.66381239891052,0.5,300,laplace,"(200, 1000, 1000, 1000)",[[0.91666667 0.91666667 0.96666667 0.91666667 0.98333333]]
jackknife_plus,sinex_con,0.9133333333333332,5.115825244319325,0.6249668489172393,5466.077232680933,35.94221544265747,1.0,300,laplace,"(200, 1000, 1000, 1000)",[[0.91666667 0.96666667 0.9        0.85       0.93333333]]
jackknife_plus,sinex_con,0.91,7.051682680648375,0.6086795916078274,3889.422249787136,32.68379855155945,1.5,300,laplace,"(200, 1000, 1000, 1000)",[[0.88333333 0.91666667 0.91666667 0.91666667 0.91666667]]
jackknife_plus,sinex_con,0.93,10.78157213252904,0.5523461803154189,2537.2665941345645,33.01385140419006,2.0,300,laplace,"(200, 1000, 1000, 1000)",[[0.95       0.91666667 0.91666667 0.91666667 0.95      ]]
jackknife_plus_ab,sinex_con,0.9233333333333332,2.78348706978779,0.7678423062461194,8646.52985346659,424.055370092392,0.5,300,laplace,"(200, 1000, 1000, 1000)",[[0.9        0.91666667 0.91666667 0.96666667 0.91666667]]
jackknife_plus_ab,sinex_con,0.8833333333333333,4.593212462927692,0.6632786904306556,6528.488667380186,382.9976522922516,1.0,300,laplace,"(200, 1000, 1000, 1000)",[[0.9        0.93333333 0.88333333 0.9        0.8       ]]
