strategy,data_name,coverage,mean_width,cwc,mwi,total_time,noise_std,num_samples,noise_type,layer_size,ssc,cv_size,optimiser,bagging_fraction
jackknife_plus_ab,linear,0.9,1.678713041,0.848077459,15387.77559,344.7801762,0.5,1000,normal,"(400, 2000, 2000, 2000)",[[0.93333333 0.9        0.91666667 0.83333333 0.91666667]],10,lbfgs,0.3
jackknife_plus_ab,linear,0.906666667,3.289450844,0.764787509,12122.15404,319.0246296,1,1000,normal,"(400, 2000, 2000, 2000)",[[0.86666667 0.86666667 0.88333333 0.98333333 0.93333333]],10,lbfgs,0.3
jackknife_plus_ab,linear,0.933333333,0.012684368,0.998730453,20027.72736,421.336118,0,1000,normal,"(400, 2000, 2000, 2000)",[[1.         1.         1.         1.         0.66666667]],10,lbfgs,0.5
jackknife_plus_ab,linear,0.89,0.642264155,0.938658297,18297.1987,444.9365389,0.2,1000,normal,"(400, 2000, 2000, 2000)",[[0.9        0.85       0.93333333 0.81666667 0.95      ]],10,lbfgs,0.5
jackknife_plus_ab,linear,0.91,1.636793933,0.845217799,15457.70472,397.70332,0.5,1000,normal,"(400, 2000, 2000, 2000)",[[0.9        0.91666667 0.91666667 0.88333333 0.93333333]],10,lbfgs,0.5
jackknife_plus_ab,linear,0.92,3.560265389,0.734205629,11354.82361,420.9183111,1,1000,normal,"(400, 2000, 2000, 2000)",[[0.88333333 0.9        0.93333333 0.9        0.98333333]],10,lbfgs,0.5
jackknife_plus_ab,linear,0.9,1.52543,0.847457,14289.63949,139.8873398,0,1000,normal,"(400, 2000, 2000, 2000)",[[0.96666667 0.86666667 0.66666667 1.         1.        ]],20,adam,0.1
jackknife_plus_ab,linear,0.89,1.751081961,0.833122394,13782.61957,138.7465906,0.2,1000,normal,"(400, 2000, 2000, 2000)",[[0.6        0.93333333 1.         0.98333333 0.93333333]],20,adam,0.1
jackknife_plus_ab,linear,0.91,2.321908038,0.799947552,12456.48212,155.2819583,0.5,1000,normal,"(400, 2000, 2000, 2000)",[[0.96666667 0.96666667 0.98333333 0.86666667 0.76666667]],20,adam,0.1
jackknife_plus_ab,linear,0.866666667,3.49500651,0.746916815,10560.78692,159.8094499,1,1000,normal,"(400, 2000, 2000, 2000)",[[0.85       0.86666667 0.93333333 0.91666667 0.76666667]],20,adam,0.1
jackknife_plus_ab,linear,0.92,0.024192094,0.997580392,19991.75787,660.7822602,0,1000,normal,"(400, 2000, 2000, 2000)",[[1.  1.  1.  1.  0.6]],20,adam,0.3
jackknife_plus_ab,linear,0.916666667,0.661420804,0.935634834,18197.1596,670.7623937,0.2,1000,normal,"(400, 2000, 2000, 2000)",[[0.91666667 0.93333333 0.93333333 0.88333333 0.91666667]],20,adam,0.3
jackknife_plus_ab,linear,0.906666667,1.64517008,0.859137215,15519.37961,635.5133719,0.5,1000,normal,"(400, 2000, 2000, 2000)",[[0.93333333 0.9        0.91666667 0.88333333 0.9       ]],20,adam,0.3
jackknife_plus_ab,linear,0.923333333,3.30282579,0.73823825,11863.83124,590.5590866,1,1000,normal,"(400, 2000, 2000, 2000)",[[0.86666667 0.95       0.93333333 0.95       0.91666667]],20,adam,0.3
jackknife_plus_ab,linear,0.913333333,0.010139524,0.99898587,20036.37093,808.8820846,0,1000,normal,"(400, 2000, 2000, 2000)",[[0.9        1.         1.         1.         0.66666667]],20,adam,0.5
jackknife_plus_ab,linear,0.956666667,0.693693185,0.932389002,18048.31239,843.4096043,0.2,1000,normal,"(400, 2000, 2000, 2000)",[[0.96666667 0.96666667 0.93333333 0.93333333 0.98333333]],20,adam,0.5
jackknife_plus_ab,linear,0.886666667,1.632931977,0.852797384,15781.19288,860.9118819,0.5,1000,normal,"(400, 2000, 2000, 2000)",[[0.85       0.9        0.86666667 0.93333333 0.88333333]],20,adam,0.5
jackknife_plus_ab,linear,0.903333333,3.151309986,0.75211679,12517.49151,819.543997,1,1000,normal,"(400, 2000, 2000, 2000)",[[0.96666667 0.96666667 0.85       0.86666667 0.86666667]],20,adam,0.5
jackknife_plus_ab,linear,0.896666667,1.547742851,0.845225705,14158.30252,139.2330043,0,1000,normal,"(400, 2000, 2000, 2000)",[[0.9        0.66666667 0.96666667 0.95       1.        ]],20,sgd,0.1
jackknife_plus_ab,linear,0.913333333,1.851615919,0.820366494,13371.60524,144.3918648,0.2,1000,normal,"(400, 2000, 2000, 2000)",[[0.9        1.         1.         0.83333333 0.83333333]],20,sgd,0.1
jackknife_plus_ab,linear,0.92,2.305315444,0.797135737,12640.45079,146.1721957,0.5,1000,normal,"(400, 2000, 2000, 2000)",[[0.95 0.95 0.95 0.9  0.85]],20,sgd,0.1
jackknife_plus_ab,linear,0.876666667,3.546111867,0.724789166,10882.68799,169.2509515,1,1000,normal,"(400, 2000, 2000, 2000)",[[0.95       0.91666667 0.93333333 0.81666667 0.76666667]],20,sgd,0.1
jackknife_plus_ab,linear,0.986666667,0.135252836,0.986467307,19624.14437,622.9256599,0,1000,normal,"(400, 2000, 2000, 2000)",[[1.         1.         1.         1.         0.93333333]],20,sgd,0.3
