strategy,data_name,coverage,mean_width,cwc,mwi,total_time,noise_std,num_samples,noise_type,layer_size,ssc,cv_size,optimiser,bagging_fraction,normalised_mean_width,num_features,active_function
jackknife_plus_ab,linear_multi,0.906,0.913880014,0.705411472,1513.020558,483.9227819,1,500,normal,"(200, 1000)",[[1.   1.   0.99 0.93 0.61]],50,adam,1,0.294588502,10,logistic
split_resid_norm,poly_multi,0.864,0.054761547,0.977927098,5333.531716,4.546426296,0,500,normal,"(200, 1000)",[[0.64 0.81 0.91 0.98 0.98]],50,adam,1,0.022071635,3,relu
split_resid_norm,poly_multi,0.96,0.125561504,0.949389034,4994.443906,4.269718885,0.2,500,normal,"(200, 1000)",[[0.85 0.96 0.99 1.   1.  ]],50,adam,1,0.050607549,3,relu
split_resid_norm,poly_multi,0.954,0.057324583,0.976892485,5305.337151,4.766129971,0.5,500,normal,"(200, 1000)",[[0.81 0.99 0.98 0.99 1.  ]],50,adam,1,0.023104666,3,relu
split_resid_norm,poly_multi,0.926,0.102697308,0.958607215,5092.007664,4.729806185,1,500,normal,"(200, 1000)",[[0.67 0.97 0.99 1.   1.  ]],50,adam,1,0.041392137,3,relu
cv_plus,poly_multi,0.92,0.042880197,0.982716749,5386.278276,107.1649599,0,500,normal,"(200, 1000)",[[0.93 0.93 0.97 0.94 0.83]],50,adam,1,0.017282858,3,relu
cv_plus,poly_multi,0.938,0.042041011,0.983053956,5388.261085,106.4100783,0.2,500,normal,"(200, 1000)",[[0.96 1.   0.97 0.88 0.88]],50,adam,1,0.016944624,3,relu
cv_plus,poly_multi,0.936,0.042687772,0.982793425,5383.753349,107.556951,0.5,500,normal,"(200, 1000)",[[1.   0.99 0.97 0.93 0.79]],50,adam,1,0.017205301,3,relu
cv_plus,poly_multi,0.932,0.046414569,0.981291609,5364.26725,107.8736134,1,500,normal,"(200, 1000)",[[0.99 0.98 0.96 0.94 0.79]],50,adam,1,0.018707386,3,relu
jackknife_plus_ab,poly_multi,0.908,0.038703018,0.98440069,5405.899557,109.7597771,0,500,normal,"(200, 1000)",[[0.91 0.91 0.87 0.96 0.89]],50,adam,1,0.015599247,3,relu
jackknife_plus_ab,poly_multi,0.904,0.038289434,0.984567433,5408.438274,108.9162161,0.2,500,normal,"(200, 1000)",[[0.98 0.91 0.92 0.89 0.82]],50,adam,1,0.015432551,3,relu
jackknife_plus_ab,poly_multi,0.906,0.036615454,0.98524211,5414.83595,112.9030213,0.5,500,normal,"(200, 1000)",[[0.97 0.96 0.93 0.9  0.77]],50,adam,1,0.014757854,3,relu
jackknife_plus_ab,poly_multi,0.908,0.036001966,0.985489349,5416.421919,109.0815406,1,500,normal,"(200, 1000)",[[0.92 0.95 0.96 0.93 0.78]],50,adam,1,0.014510588,3,relu
split_resid_norm,poly_multi,0.9,0.285125409,0.885080239,4318.365718,2.951747656,0,500,normal,"(200, 1000)",[[0.77 0.88 0.92 0.97 0.96]],50,adam,1,0.114919761,3,tanh
split_resid_norm,poly_multi,0.982,0.783191489,0.684330166,2689.344633,2.627536774,0.2,500,normal,"(200, 1000)",[[0.91 1.   1.   1.   1.  ]],50,adam,1,0.315665232,3,tanh
split_resid_norm,poly_multi,0.924,0.903613793,0.635798207,2951.732851,2.544526815,0.5,500,normal,"(200, 1000)",[[0.68 0.94 1.   1.   1.  ]],50,adam,1,0.364201427,3,tanh
split_resid_norm,poly_multi,0.932,1.105672909,0.554358104,2607.18026,2.090833664,1,500,normal,"(200, 1000)",[[0.66 1.   1.   1.   1.  ]],50,adam,1,0.445641329,3,tanh
cv_plus,poly_multi,0.904,0.278344075,0.887813441,4297.191188,73.9196558,0,500,normal,"(200, 1000)",[[0.96 0.89 0.88 0.89 0.9 ]],50,adam,1,0.112186545,3,tanh
cv_plus,poly_multi,0.92,0.278132719,0.887898287,4309.605239,65.6563406,0.2,500,normal,"(200, 1000)",[[0.95 0.95 0.92 0.88 0.9 ]],50,adam,1,0.112101358,3,tanh
cv_plus,poly_multi,0.912,0.277500617,0.888153283,4295.678955,71.34083867,0.5,500,normal,"(200, 1000)",[[0.98 0.86 0.84 0.97 0.91]],50,adam,1,0.111846589,3,tanh
cv_plus,poly_multi,0.904,0.273160823,0.88990255,4302.105542,73.96030092,1,500,normal,"(200, 1000)",[[0.9  0.87 0.9  0.94 0.91]],50,adam,1,0.110097436,3,tanh
jackknife_plus_ab,poly_multi,0.898,0.266968025,0.892398567,4340.05306,75.61343622,0,500,normal,"(200, 1000)",[[0.9  0.88 0.92 0.9  0.89]],50,adam,1,0.107601429,3,tanh
jackknife_plus_ab,poly_multi,0.904,0.26462058,0.893344694,4349.92311,67.16917324,0.2,500,normal,"(200, 1000)",[[0.9  0.94 0.88 0.9  0.9 ]],50,adam,1,0.106655292,3,tanh
